18	4	82
18	5	82
18	6	82
18	7	82
18	8	82
18	9	82
19	4	82
19	5	82
19	6	82
19	7	82
19	8	82
19	9	82
20	4	82
20	7	82
21	4	82
21	7	82
21	8	82
22	4	82
22	7	82
22	8	82
22	9	82
23	4	82
23	5	82
23	6	82
23	7	82
23	9	82
24	5	82
24	6	82
27	5	79
27	6	79
27	7	79
27	8	79
28	4	79
28	5	79
28	6	79
28	7	79
28	8	79
28	9	79
29	4	79
29	5	79
29	8	79
29	9	79
30	4	79
30	9	79
31	4	79
31	9	79
32	4	79
32	5	79
32	8	79
32	9	79
33	4	79
33	5	79
33	6	79
33	7	79
33	8	79
33	9	79
34	5	79
34	6	79
34	7	79
34	8	79
36	5	71
36	6	71
36	7	71
36	8	71
37	4	71
37	5	71
37	6	71
37	7	71
37	8	71
37	9	71
38	4	71
38	5	71
38	8	71
38	9	71
39	4	71
39	9	71
40	4	71
40	9	71
41	4	71
41	7	71
41	9	71
42	4	71
42	7	71
42	9	71
43	4	71
43	5	71
43	7	71
43	8	71
43	9	71
44	5	71
44	7	71
44	8	71
47	4	85
47	5	85
47	6	85
47	7	85
47	8	85
48	4	85
48	5	85
48	6	85
48	7	85
48	8	85
48	9	85
49	8	85
49	9	85
50	9	85
51	9	85
52	8	85
52	9	85
53	4	85
53	5	85
53	6	85
53	7	85
53	8	85
53	9	85
54	4	85
54	5	85
54	6	85
54	7	85
54	8	85
57	4	69
57	5	69
57	6	69
57	7	69
57	8	69
57	9	69
58	4	69
58	5	69
58	6	69
58	7	69
58	8	69
58	9	69
59	4	69
59	6	69
59	7	69
59	9	69
60	4	69
60	6	69
60	7	69
60	9	69
61	4	69
61	9	69
62	4	69
62	9	69
63	4	69
63	9	69
64	4	69
64	5	69
64	8	69
64	9	69
26	12	76
26	13	76
26	14	76
26	15	76
26	16	76
26	17	76
27	12	76
27	13	76
27	14	76
27	15	76
27	16	76
27	17	76
28	17	76
29	17	76
30	17	76
31	17	76
32	17	76
35	12	73
35	17	73
36	12	73
36	13	73
36	14	73
36	15	73
36	16	73
36	17	73
37	12	73
37	13	73
37	14	73
37	15	73
37	16	73
37	17	73
38	12	73
38	17	73
41	12	75
41	13	75
41	14	75
41	15	75
41	16	75
41	17	75
42	12	75
42	13	75
42	14	75
42	15	75
42	16	75
42	17	75
43	15	75
44	13	75
44	14	75
44	15	75
45	12	75
45	13	75
45	15	75
45	16	75
46	12	75
46	16	75
46	17	75
47	17	75
50	12	69
50	13	69
50	14	69
50	15	69
50	16	69
50	17	69
51	12	69
51	13	69
51	14	69
51	15	69
51	16	69
51	17	69
52	12	69
52	14	69
52	15	69
52	17	69
53	12	69
53	14	69
53	15	69
53	17	69
54	12	69
54	17	69
55	12	69
55	17	69
56	12	69
56	17	69
57	12	69
57	13	69
57	16	69
57	17	69



